"Code Word 0", "Code Word 1", "Code Word 2", "HD0,1", "HD0,2", "HD(1,2)", "Code Word Weight 0", "Code Word Weight 1", "Code Word Weight 2", "Unit weight sum 0", "Unit weight sum 1", "Weight sum 0", "Weight sum 1", "Homeostasis factor", "Positives", "Negatives", "True Positives", "True Negatives", "False Positives", "False Negatives", "Accuracy", "Precision", "Negative Prediction", "Sensitivity", "Specificity"
0,3,509,2,8,8,10,10,-2,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",4.188829999999999,10,1014,2,1013,8,1,0.9912109375,0.2,0.9990138067061144,0.6666666666666666,0.9921645445641528
0,7,57,3,4,5,16,14,12,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 2]","[1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.        0.        0.        0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",3.4902500000000005,42,982,3,982,39,0,0.9619140625,0.07142857142857142,1.0,1.0,0.9618021547502449
0,1,126,1,6,7,16,14,4,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",10.478729999999999,319,705,3,705,316,0,0.69140625,0.009404388714733543,1.0,1.0,0.6904995102840352
0,15,496,4,5,9,12,4,2,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",20.957449999999998,392,632,3,632,389,0,0.6201171875,0.007653061224489796,1.0,1.0,0.6190009794319294
0,7,120,3,4,7,16,10,8,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",5.235819999999998,102,922,3,922,99,0,0.9033203125,0.029411764705882353,1.0,1.0,0.9030362389813908
0,0,127,0,7,7,16,16,2,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",21.0,449,575,2,575,447,0,0.5634765625,0.004454342984409799,1.0,1.0,0.5626223091976517
0,3,125,2,6,6,14,14,6,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 2]","[1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.        0.        0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",6.98405,207,817,3,817,204,0,0.80078125,0.014492753623188406,1.0,1.0,0.8001958863858962
0,7,505,3,7,8,10,8,0,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",5.236709999999997,46,978,2,977,44,1,0.9560546875,0.043478260869565216,0.9989775051124744,0.6666666666666666,0.9569049951028403
0,15,499,4,7,7,8,8,2,"[3, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",20.957449999999998,392,632,3,632,389,0,0.6201171875,0.007653061224489796,1.0,1.0,0.6190009794319294
0,1,62,1,5,6,18,16,8,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",5.239369999999997,151,873,3,873,148,0,0.85546875,0.019867549668874173,1.0,1.0,0.8550440744368266
